Company Name,Company Domain,Company Phone,Company City,Company State,Company Address,Company Industry,ICP Score,Contact First Name,Contact Last Name,Contact Email,Contact Phone,Contact Job Title,Deal Name,Deal Amount
CF Industries Hillsborough,,,Tampa,FL,,Fertilizer / chemical manufacturing,13,,,,,,,
Mosaic Fertilizer Riverview,mosaicco.com,(813) 677-9811,Tampa,FL,,chemical,13,,,,,,,
Ben Hill Griffin Inc Frostproof,,,Frostproof,FL,,Citrus processing / juice packaging,13,,,,,,,
Sarasota County Water Utilities,scgov.net,(941) 861-0300,Sarasota,FL,,water treatment,13,,,,,,,
Manatee County Water System,mymanatee.org,(941) 748-4501,Bradenton,FL,,water treatment,13,,,,,,,
Marion County Utilities Ocala,marioncountyfl.org,(352) 671-8686,Ocala,FL,,water treatment,13,,,,,,,
Brevard County Water Reclamation,brevardfl.gov,(321) 633-2075,Melbourne,FL,,water treatment,13,,,,,,,
Lee County Water Reclamation,leegov.com,(239) 533-8800,Fort Myers,FL,,water treatment,12,,,,,,,
Cape Coral Water Treatment Plant,capecoral.net,(239) 574-0882,Fort Myers,FL,,water treatment,12,,,,,,,
Daytona Beach Water Treatment,codb.us,(386) 671-8100,Daytona Beach,FL,,water treatment,12,,,,,,,
WestRock (formerly Smurfit-Stone),,,Fernandina Beach,FL,,Paper / packaging manufacturing,12,,,,,,,
TECO Tampa Electric Co (Polk Power Station),,(813) 228-1111,Polk City,FL,,Electric power generation plant,12,,,,,,,
Dole Food Company Leesburg,,,Leesburg,FL,,Produce processing / food manufacturing,12,,,,,,,
Tropicana / PepsiCo Ft Pierce,,,Fort Pierce,FL,,Citrus juice processing / food manufacturing,12,,,,,,,
Atlantic Packaging,,,Sarasota,FL,,Packaging manufacturing,12,,,,,,,
Rooms To Go Distribution Center,roomstogo.com,(863) 688-6669,Lakeland,FL,,warehouse distribution,11,,,,,,,
Walmart Grocery Distribution Lakeland,walmart.com,(863) 413-1100,Lakeland,FL,,warehouse distribution,11,,,,,,,
Saddle Creek Logistics Lakeland,saddlecreeklogistics.com,(863) 665-4505,Lakeland,FL,,Warehousing & distribution,11,,,,,,,
Rinker Materials Kissimmee,,,Kissimmee,FL,,Precast concrete manufacturing,11,,,,,,,
Legoland Florida Resort Operations,legoland.com,(877) 350-5346,Winter Haven,FL,,industrial,11,,,,,,,
Praxair / Linde Lakeland,,,Lakeland,FL,,Industrial gases manufacturing,11,,,,,,,
Vulcan Materials Lakeland,,,Lakeland,FL,,Concrete / aggregates,11,,,,,,,
Cemex USA Lakeland,,,Lakeland,FL,,Cement / ready-mix concrete,11,,,,,,,
TECO Polk Power Station,tecoenergy.com,(813) 228-1111,Mulberry,FL,,power generation,11,,,,,,,
Tupperware Brands Corporation,tupperware.com,(407) 826-5050,Orlando,FL,,manufacturing,11,,,,,,,
Orlando Utilities Commission,ouc.com,(407) 423-9100,Orlando,FL,,utility,11,,,,,,,
Lockheed Martin Missiles Fire Control,lockheedmartin.com,(407) 356-2000,Orlando,FL,,aerospace defense,11,,,,,,,
Siemens Energy Orlando,siemens-energy.com,(407) 736-2000,Orlando,FL,,manufacturing,11,,,,,,,
South Lake Hospital Clermont,southlakehospital.com,(352) 394-4071,Clermont,FL,,industrial,11,,,,,,,
Vulcan Materials Bartow,vulcanmaterials.com,(863) 533-2500,Bartow,FL,,manufacturing,11,,,,,,,
AdventHealth Sebring,adventhealth.com,(863) 314-4466,Sebring,FL,,industrial,11,,,,,,,
Lakeland Regional Medical Center,lrmc.com,(863) 687-1100,Lakeland,FL,,industrial,11,,,,,,,
CEMEX Tampa Cement Plant,cemex.com,(813) 247-2400,Tampa,FL,,manufacturing,10,,,,,,,
Gerdau AmeriSteel Tampa,gerdau.com,(813) 286-8383,Tampa,FL,,metal fabrication,10,,,,,,,
Ardagh Glass Tampa,,,Tampa,FL,,Glass bottle manufacturing,10,,,,,,,
L3Harris Technologies Melbourne,l3harris.com,(321) 727-9100,Melbourne,FL,,aerospace defense,10,,,,,,,
AdventHealth Plant City (Laundry/Facilities),,,Plant City,FL,,Healthcare facilities / laundry processing,10,,,,,,,
Amazon Fulfillment Center Lakeland,amazon.com,,Lakeland,FL,,warehouse distribution,10,,,,,,,
Florida Rock Industries Bradenton,vulcanmaterials.com,(941) 747-2671,Bradenton,FL,,manufacturing,10,,,,,,,
Tampa Electric Gannon Station,tecoenergy.com,(813) 223-0800,Tampa,FL,,utility,10,,,,,,,
PGT Innovations Nokomis,pgtinnovations.com,(941) 480-1600,Sarasota,FL,,manufacturing,10,,,,,,,
Honeywell Process Solutions Tampa,,,Tampa,FL,,Industrial automation / process controls,10,,,,,,,
Preferred Freezer Services Ocala,preferredfreezer.com,(352) 622-1234,Ocala,FL,,warehouse distribution,10,,,,,,,
Embraer Aircraft Melbourne,embraer.com,(321) 751-0600,Melbourne,FL,,aerospace,10,,,,,,,
Northrop Grumman Melbourne,northropgrumman.com,(321) 951-6100,Melbourne,FL,,Aerospace & defense,10,,,,,,,
